*,Value
p10,14.560000000000004
p122,3.12
p126,19.500000000000004
p28,3.7700000000000005
p29,4.8100000000000005
p33,6.109999999999999
p34,3.25
p9,23.14
p98,4.16
p1,0.65
p30,3.9000000000000004
